"play ID","game ID","game name",userid,date,quantity,location,length,incomplete,nowinstats,comments,"player 1 username","player 1 name","player 1 startposition","player 1 color","player 1 score","player 1 new","player 1 rating","player 1 win","player 2 username","player 2 name","player 2 startposition","player 2 color","player 2 score","player 2 new","player 2 rating","player 2 win","player 3 username","player 3 name","player 3 startposition","player 3 color","player 3 score","player 3 new","player 3 rating","player 3 win","player 4 username","player 4 name","player 4 startposition","player 4 color","player 4 score","player 4 new","player 4 rating","player 4 win","player 5 username","player 5 name","player 5 startposition","player 5 color","player 5 score","player 5 new","player 5 rating","player 5 win","player 6 username","player 6 name","player 6 startposition","player 6 color","player 6 score","player 6 new","player 6 rating","player 6 win","player 7 username","player 7 name","player 7 startposition","player 7 color","player 7 score","player 7 new","player 7 rating","player 7 win","player 8 username","player 8 name","player 8 startposition","player 8 color","player 8 score","player 8 new","player 8 rating","player 8 win"
12956264,39463,"Cosmic Encounter",,2014-10-25,,"Petřiny",90,,,"Epic game with zombies, reserves, vulchs and parasites. I don't even know and care who won :-)",,Karolína,4,,,,,,,Petr,3,,,,,,,"Bětka",2,,,,,,Tatsukochi,hejtmy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12956290,123540,Tokaido,,2014-10-26,,"Petřiny",45,,,,,Karolína,2,,,1,,,,"Bětka",4,,,,,,Tatsukochi,hejtmy,3,,,,,,,Petr,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12956304,38453,"Space Alert",,2014-10-25,,"Petřiny",20,,,"First ever game. Survived barely. Lots of cards placed wrong, some weren't even placed at all :-)",,Karolína,2,,,,,,,"Bětka",4,,,,,,Tatsukochi,hejtmy,3,,,,,,,Petr,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12956312,129622,"Love Letter",,2014-10-26,,"Petřiny",20,,,,,Karolína,2,,,,,,,"Bětka",4,,,,,,Tatsukochi,hejtmy,3,,,,,,,Petr,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12956320,98778,Hanabi,,2014-10-26,,"Petřiny",25,,,,,Karolína,2,,,,,,,"Bětka",4,,,,,,Tatsukochi,hejtmy,3,,,,,,,Petr,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13000909,2653,"Survive: Escape from Atlantis!",,2014-10-31,,"Petřiny",60,,,,,"Bětka",2,,13,1,,,,Echy,3,,17,1,,1,Tatsukochi,hejtmy,1,,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13000919,133038,"Pathfinder Adventure Card Game: Rise of the Runelords – Base Set",,2014-10-31,,"Petřiny",50,,,"First scenario from burnt offerings",,"Bětka",2,,,,,,,Echy,3,,,,,,Tatsukochi,hejtmy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13005190,2511,"Sherlock Holmes Consulting Detective",,2014-11-01,,"Petřiny",180,,,"Second case. This time we actually thought about it :-) solved it! And scored positive 40 points. Answered all questions but two! We played it from one am till four am. Echy went home with one of the last night busses :-)",,"Bětka",2,,,,,,,Echy,3,,,,,,Tatsukochi,hejtmy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13053767,77423,"The Lord of the Rings: The Card Game",,2014-11-08,,"Petřiny",75,,,"First scenario. 133 points.",,"Bětka",2,,133,1,,1,Tatsukochi,hejtmy,1,,133,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13054262,133038,"Pathfinder Adventure Card Game: Rise of the Runelords – Base Set",,2014-11-08,,"Petřiny",60,,,"Two fast solo rounds with to new character to level up.",Tatsukochi,hejtmy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13064168,77423,"The Lord of the Rings: The Card Game",,2014-11-09,,"Petřiny",45,,,"Leadership deck. Casual game without problems, but incredibly slow.  Score 155",Tatsukochi,hejtmy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13234668,124742,"Android: Netrunner",,2014-11-28,,"Petřiny",30,,,"Nejvíc prohrál. Měl jsem zcela plnou ruku agend a žádný ice, nic :-)",Tatsukochi,hejtmy,,,,,,,,Echy,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13234680,124742,"Android: Netrunner",,2014-11-29,,"Petřiny",60,,,"Lepší, ale zase jsem prohrál. Ultimátní run na R&D se stimhackem, trash all programs, did not help. Lost.",Tatsukochi,hejtmy,,,,,,,,Echy,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13383105,28143,"Race for the Galaxy",,2014-12-16,,"Dobrá Trafika",120,,,,,"Bětka",2,,,,,,Tatsukochi,hejtmy,3,,,,,,,Echy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13392395,147151,Concept,,2014-12-21,,Nižbor,60,,,,,Adéla,5,,,,,,,Mates,7,,,,,,,Karolína,4,,,1,,,,"Bětka",3,,,,,1,,Martin,2,,,,,,,"Kuba H.",6,,,,,,Tatsukochi,hejtmy,1,,,,,,,,,,,,,
13421322,124742,"Android: Netrunner",,2014-12-23,,Nižbor,120,,,,Tatsukochi,hejtmy,,,,,,,,Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13421326,28143,"Race for the Galaxy",,2014-12-24,,Nižbor,20,,,,,Martin,2,,,,,1,Tatsukochi,hejtmy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13421328,28143,"Race for the Galaxy",,2014-12-23,,Nižbor,40,,,,,Martin,2,,,1,,,Tatsukochi,hejtmy,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13430210,28143,"Race for the Galaxy",,2014-12-25,,Nižbor,15,,,,,Martin,2,,9,,,,Tatsukochi,hejtmy,1,,20,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13430216,28143,"Race for the Galaxy",,2014-12-25,,Nižbor,,,,,,Martin,2,,13,,,,Tatsukochi,hejtmy,1,,15,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13430693,134453,"The Little Prince: Make Me a Planet",,2014-12-25,,Nižbor,40,,,,,Martin,2,,48,,,1,,Máma,3,,41,1,,,Tatsukochi,hejtmy,1,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13430702,134453,"The Little Prince: Make Me a Planet",,2014-12-25,,Nižbor,30,,,,,Martin,2,,17,,,,,Máma,3,,48,,,1,Tatsukochi,hejtmy,1,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13430839,134453,"The Little Prince: Make Me a Planet",,2014-12-25,,Nižbor,20,,,,,Martin,2,,43,,,1,,Máma,3,,30,,,,Tatsukochi,hejtmy,1,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13433777,39856,Dixit,,2014-12-26,,Nižbor,80,,,,,Adéla,5,,,,,,,Mates,7,,,,,,,Karolína,4,,,,,,,Martin,3,,,,,,Tatsukochi,hejtmy,2,,,,,,,"Kuba H.",6,,,,,,,"Bětka",1,,,,,,,,,,,,,
13440519,28143,"Race for the Galaxy",,2014-12-26,,Nižbor,20,,,,,"Bětka",2,,11,,,,,Martin,3,,,,,,Tatsukochi,hejtmy,1,,21,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13443448,102794,"Caverna: The Cave Farmers",,2014-12-26,,Nižbor,180,,,,,"Bětka",2,,59,,,,,Martin,3,,67,1,,,Tatsukochi,hejtmy,1,,84,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13455284,28143,"Race for the Galaxy",,2014-12-27,,Nižbor,20,,,,,"Bětka",2,,21,,,1,,Martin,3,,10,,,,Tatsukochi,hejtmy,1,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
